Algorithm,Threshold,Precision,Recall,F1
RussellRao,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
RussellRao,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Scott,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Scott,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Scott,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Scott,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Scott,0.6,0.726798865253364,0.06297557633233546,0.11551605928063635
Scott,0.5,0.726798865253364,0.06297557633233546,0.11551605928063635
Scott,0.4,0.48484676784591657,0.13529344769970594,0.21149577688391033
Scott,0.3,0.5224434040980874,0.1758542728094191,0.2630457169857076
Scott,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Scott,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
SimpleMatching,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
SimpleMatching,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
SimpleMatching,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
SimpleMatching,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
SimpleMatching,0.6,0.47424983593391673,0.12748517772100346,0.20088733476550624
SimpleMatching,0.5,0.504287435357056,0.15979782998820663,0.24261924402659954
SimpleMatching,0.4,0.504287435357056,0.15979782998820663,0.24261924402659954
SimpleMatching,0.3,0.5348442768317095,0.18708268549890109,0.2771574451789254
SimpleMatching,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
SimpleMatching,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
Sokal,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Sokal,0.9,0.7656280495637519,0.049229963847540935,0.09223370780494015
Sokal,0.8,0.47424983593391673,0.12748517772100346,0.20088733476550624
Sokal,0.7,0.47424983593391673,0.12748517772100346,0.20088733476550624
Sokal,0.6,0.504287435357056,0.15979782998820663,0.24261924402659954
Sokal,0.5,0.5348442768317095,0.18708268549890109,0.2771574451789254
Sokal,0.4,0.5348442768317095,0.18708268549890109,0.2771574451789254
Sokal,0.3,0.5348442768317095,0.18708268549890109,0.2771574451789254
Sokal,0.2,0.6175336942817059,0.3507983417888152,0.4473969878842865
Sokal,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
SorensenDice,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
SorensenDice,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
SorensenDice,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
SorensenDice,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
SorensenDice,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
SorensenDice,0.5,0.726798865253364,0.06297557633233546,0.11551605928063635
SorensenDice,0.4,0.7254476092589223,0.07263208669638407,0.13169287512716457
SorensenDice,0.3,0.7329569662945473,0.09110126946394087,0.16155585863860064
SorensenDice,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
SorensenDice,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
tarantula,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
tarantula,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
tarantula,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
tarantula,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
tarantula,0.6,0.7254476092589223,0.07263208669638407,0.13169287512716457
tarantula,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
tarantula,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
tarantula,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
tarantula,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
tarantula,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,1.0,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.9,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.8,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.7,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.6,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong1,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Wong2,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Wong2,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Wong2,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
Wong2,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Wong2,0.6,0.47424983593391673,0.12748517772100346,0.20088733476550624
Wong2,0.5,0.504287435357056,0.15979782998820663,0.24261924402659954
Wong2,0.4,0.504287435357056,0.15979782998820663,0.24261924402659954
Wong2,0.3,0.5348442768317095,0.18708268549890109,0.2771574451789254
Wong2,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Wong2,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
Wong3,1.0,0.6303140757665776,0.19700216382198601,0.3001779565160577
Wong3,0.9,0.6723256525923856,0.23841406118325162,0.35199689535305473
Wong3,0.8,0.6871689619121049,0.274634713787471,0.3923218053820105
Wong3,0.7,0.6871689619121049,0.274634713787471,0.3923218053820105
Wong3,0.6,0.6871689619121049,0.274634713787471,0.3923218053820105
Wong3,0.5,0.6871689619121049,0.274634713787471,0.3923218053820105
Wong3,0.4,0.6063469899388297,0.33344883201059544,0.4302418768033543
Wong3,0.3,0.6063469899388297,0.33344883201059544,0.4302418768033543
Wong3,0.2,0.6063469899388297,0.33344883201059544,0.4302418768033543
Wong3,0.1,0.6063469899388297,0.33344883201059544,0.4302418768033543
Zoltar,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Zoltar,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Zoltar,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Zoltar,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Zoltar,0.6,0.8358692743257836,0.029600587038008663,0.05710935867340464
Zoltar,0.5,0.7656280495637519,0.049229963847540935,0.09223370780494015
Zoltar,0.4,0.7656280495637519,0.049229963847540935,0.09223370780494015
Zoltar,0.3,0.726798865253364,0.06297557633233546,0.11551605928063635
Zoltar,0.2,0.7329569662945473,0.09110126946394087,0.16155585863860064
Zoltar,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
